('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         794025 function calls (770006 primitive calls) in 2.892 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      246    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      243    0.000    0.000    0.183    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    242/4    0.000    0.000    0.955    0.239 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      232    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      226    0.000    0.000    0.170    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      225    0.071    0.000    0.427    0.002 {method 'read' of '_io.BufferedReader' objects}
  213/177    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      213    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
    213/4    0.001    0.000    1.019    0.255 <frozen importlib._bootstrap>:1022(_find_and_load)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
    212/4    0.001    0.000    1.019    0.255 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      210    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
      210    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      210    0.001    0.000    0.372    0.002 <frozen importlib._bootstrap>:921(_find_spec)
      199    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      197    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      197    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      193    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      193    0.001    0.000    0.369    0.002 <frozen importlib._bootstrap_external>:1399(_get_spec)
      193    0.000    0.000    0.369    0.002 <frozen importlib._bootstrap_external>:1431(find_spec)
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      191    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      191    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      191    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      191    0.001    0.000    0.007    0.000 sre_compile.py:560(_compile_info)
      191    0.000    0.000    0.041    0.000 sre_compile.py:622(_code)
      191    0.001    0.000    0.111    0.001 sre_compile.py:783(compile)
      191    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      191    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      191    0.000    0.000    0.069    0.000 sre_parse.py:944(parse)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      189    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  189/185    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    189/4    0.001    0.000    0.989    0.247 <frozen importlib._bootstrap>:664(_load_unlocked)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      176    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      176    0.000    0.000    0.006    0.000 sre_parse.py:97(closegroup)
      173    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
