('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         793932 function calls (769947 primitive calls) in 9.208 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       83    0.000    0.000    0.001    0.000 typing_extensions.py:3424(_collect_type_vars)
      413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
  759/702    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      172    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      163    0.000    0.000    0.251    0.002 <frozen importlib._bootstrap_external>:1089(path_stats)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      652    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      831    0.000    0.000    0.000    0.000 element.py:2168(get)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
       20    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
      193    0.000    0.000    0.845    0.004 <frozen importlib._bootstrap_external>:1431(find_spec)
       61    0.000    0.000    0.003    0.000 typing.py:483(Union)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
    47/16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      321    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.090    0.090 ssl.py:1014(_create)
     1762    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      335    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      130    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      191    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      213    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       27    0.000    0.000    0.000    0.000 parse.py:473(urlsplit)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
     2567    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      176    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      226    0.000    0.000    0.355    0.002 <frozen importlib._bootstrap_external>:159(_path_isfile)
      741    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
       59    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       71    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
     1272    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      753    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      806    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
      191    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      805    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       67    0.000    0.000    0.974    0.015 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  164/163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      328    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
     1272    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       52    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      295    0.000    0.000    0.000    0.000 types.py:176(__get__)
      100    0.000    0.000    0.001    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
       83    0.000    0.000    0.000    0.000 typing_extensions.py:3389(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.045    0.045 packages.py:1(<module>)
      2/1    0.000    0.000    1.818    1.818 sessions.py:673(send)
        2    0.000    0.000    0.001    0.000 feedparser.py:471(_parse_headers)
      382    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
        1    0.000    0.000    0.001    0.001 models.py:409(prepare_url)
       17    0.000    0.000    0.065    0.004 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       40    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      210    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       25    0.000    0.000    0.001    0.000 parse.py:380(urlparse)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      306    0.000    0.000    0.138    0.000 re.py:249(compile)
    71/37    0.000    0.000    0.750    0.020 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    9.207    9.207 financial.py:1(<module>)
       41    0.000    0.000    0.399    0.010 response.py:1173(read_chunked)
       61    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
        7    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
      328    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       13    0.000    0.000    0.001    0.000 _collections_abc.py:991(update)
      429    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       56    0.000    0.000    0.000    0.000 parse.py:123(_coerce_args)
  134/132    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      138    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      130    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      535    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      269    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.110    0.110 css_parser.py:1(<module>)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      169    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
        1    0.000    0.000    0.071    0.071 dammit.py:1(<module>)
       17    0.000    0.000    0.056    0.003 <frozen zipimport>:64(__init__)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1604(make_cookies)
      275    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      320    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
    31/17    0.000    0.000    0.898    0.053 {built-in method builtins.__import__}
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      320    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       59    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
      511    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       17    0.000    0.000    0.117    0.007 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        2    0.000    0.000    0.980    0.490 connection.py:485(getresponse)
        3    0.000    0.000    0.058    0.019 utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1361(add_cookie_header)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      176    0.000    0.000    0.008    0.000 sre_parse.py:97(closegroup)
      328    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f17dc39d900}
       16    0.000    0.000    0.000    0.000 message.py:462(get)
        2    0.000    0.000    0.132    0.066 connection.py:1(<module>)
      322    0.000    0.000    0.000    0.000 socket.py:730(readable)
      267    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        2    0.000    0.000    0.978    0.489 client.py:1331(getresponse)
        2    0.000    0.000    0.076    0.038 client.py:206(_read_headers)
      406    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
        5    0.000    0.000    0.000    0.000 request.py:2487(getproxies_environment)
      336    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      507    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.003    0.002 parser.py:41(parse)
    44/32    0.000    0.000    0.012    0.000 css_parser.py:579(parse_pseudo_class)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       12    0.000    0.000    0.000    0.000 message.py:497(get_all)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       50    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      644    0.000    0.000    0.000    0.000 ssl.py:1138(_checkClosed)
        1    0.000    0.000    0.003    0.003 ssl_.py:225(create_urllib3_context)
      232    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       17    0.000    0.000    0.061    0.004 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        3    0.000    0.000    0.156    0.052 response.py:1(<module>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      193    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
    40/31    0.000    0.000    0.012    0.000 css_parser.py:746(parse_pseudo_open)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        2    0.000    0.000    0.017    0.008 request.py:1(<module>)
      509    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      197    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       40    0.000    0.000    0.386    0.010 response.py:1151(_handle_chunk)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.490    0.490 element.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
      385    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
        2    0.000    0.000    0.000    0.000 socket.py:302(makefile)
       23    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.016    0.016 ssl.py:1(<module>)
        2    0.000    0.000    1.414    0.707 adapters.py:613(send)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
       12    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
      341    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        2    0.000    0.000    0.978    0.489 client.py:311(begin)
       62    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
        1    0.000    0.000    1.828    1.828 sessions.py:500(request)
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
       61    0.000    0.000    0.386    0.006 client.py:624(_safe_read)
        1    0.000    0.000    0.279    0.279 adapters.py:1(<module>)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       47    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.249    0.249 connectionpool.py:1(<module>)
       10    0.000    0.000    0.000    0.000 client.py:1239(putheader)
       42    0.000    0.000    0.012    0.000 response.py:469(_decode)
       22    0.000    0.000    0.001    0.000 typing.py:523(Optional)
      191    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
